name,album,media_type,genre,composer,milliseconds,bytes,unitprice,tracks_sold,artist,file
Hush,61,1,1,South,213054,6944928,0.99,1,61,
Smoke On The Water,61,1,1,"Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord, Ian Paice",464378,15180849,0.99,0,61,
Space Trucking,61,1,1,"Richie Blackmore, Ian Gillian, Roger Glover, Jon Lord, Ian Paice",341185,11122183,0.99,0,61,
Highway Star,62,1,1,Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover,368770,12012452,0.99,0,62,
Maybe I'm A Leo,62,1,1,Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover,290455,9502646,0.99,2,62,
Pictures Of Home,62,1,1,Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover,303777,9903835,0.99,1,62,
Never Before,62,1,1,Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover,239830,7832790,0.99,0,62,
Smoke On The Water,62,1,1,Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover,340871,11246496,0.99,0,62,
Lazy,62,1,1,Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover,442096,14397671,0.99,0,62,
Space Truckin',62,1,1,Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover,272796,8981030,0.99,1,62,
Vavoom : Ted The Mechanic,63,1,1,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",257384,8510755,0.99,1,63,
Loosen My Strings,63,1,1,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",359680,11702232,0.99,0,63,
Soon Forgotten,63,1,1,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",287791,9401383,0.99,0,63,
Sometimes I Feel Like Screaming,63,1,1,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",451840,14789410,0.99,1,63,
Cascades : I'm Not Your Lover,63,1,1,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",283689,9209693,0.99,1,63,
The Aviator,63,1,1,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",320992,10532053,0.99,0,63,
Rosa's Cantina,63,1,1,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",312372,10323804,0.99,0,63,
A Castle Full Of Rascals,63,1,1,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",311693,10159566,0.99,0,63,
A Touch Away,63,1,1,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",276323,9098561,0.99,1,63,
Hey Cisco,63,1,1,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",354089,11600029,0.99,1,63,
Somebody Stole My Guitar,63,1,1,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",249443,8180421,0.99,0,63,
The Purpendicular Waltz,63,1,1,"Ian Gillan, Roger Glover, Jon Lord, Steve Morse, Ian Paice",283924,9299131,0.99,0,63,
King Of Dreams,64,1,1,"Blackmore, Glover, Turner",328385,10733847,0.99,1,64,
The Cut Runs Deep,64,1,1,"Blackmore, Glover, Turner, Lord, Paice",342752,11191650,0.99,1,64,
Fire In The Basement,64,1,1,"Blackmore, Glover, Turner, Lord, Paice",283977,9267550,0.99,1,64,
Truth Hurts,64,1,1,"Blackmore, Glover, Turner",314827,10224612,0.99,0,64,
Breakfast In Bed,64,1,1,"Blackmore, Glover, Turner",317126,10323804,0.99,0,64,
Love Conquers All,64,1,1,"Blackmore, Glover, Turner",227186,7328516,0.99,1,64,
Fortuneteller,64,1,1,"Blackmore, Glover, Turner, Lord, Paice",349335,11369671,0.99,1,64,
Too Much Is Not Enough,64,1,1,"Turner, Held, Greenwood",257724,8382800,0.99,0,64,
Wicked Ways,64,1,1,"Blackmore, Glover, Turner, Lord, Paice",393691,12826582,0.99,0,64,
Stormbringer,65,1,1,D.Coverdale/R.Blackmore/Ritchie Blackmore,246413,8044864,0.99,1,65,
Love Don't Mean a Thing,65,1,1,D.Coverdale/G.Hughes/Glenn Hughes/I.Paice/Ian Paice/J.Lord/John Lord/R.Blackmore/Ritchie Blackmore,263862,8675026,0.99,1,65,
Holy Man,65,1,1,D.Coverdale/G.Hughes/Glenn Hughes/J.Lord/John Lord,270236,8818093,0.99,0,65,
Hold On,65,1,1,D.Coverdal/G.Hughes/Glenn Hughes/I.Paice/Ian Paice/J.Lord/John Lord,306860,10022428,0.99,0,65,
Lady Double Dealer,65,1,1,D.Coverdale/R.Blackmore/Ritchie Blackmore,201482,6554330,0.99,0,65,
You Can't Do it Right (With the One You Love),65,1,1,D.Coverdale/G.Hughes/Glenn Hughes/R.Blackmore/Ritchie Blackmore,203755,6709579,0.99,1,65,
High Ball Shooter,65,1,1,D.Coverdale/G.Hughes/Glenn Hughes/I.Paice/Ian Paice/J.Lord/John Lord/R.Blackmore/Ritchie Blackmore,267833,8772471,0.99,1,65,
The Gypsy,65,1,1,D.Coverdale/G.Hughes/Glenn Hughes/I.Paice/Ian Paice/J.Lord/John Lord/R.Blackmore/Ritchie Blackmore,242886,7946614,0.99,0,65,
Soldier Of Fortune,65,1,1,D.Coverdale/R.Blackmore/Ritchie Blackmore,193750,6315321,0.99,0,65,
The Battle Rages On,66,1,1,ian paice/jon lord,356963,11626228,0.99,1,66,
Lick It Up,66,1,1,roger glover,240274,7792604,0.99,1,66,
Anya,66,1,1,jon lord/roger glover,392437,12754921,0.99,0,66,
Talk About Love,66,1,1,roger glover,247823,8072171,0.99,0,66,
Time To Kill,66,1,1,roger glover,351033,11354742,0.99,0,66,
Ramshackle Man,66,1,1,roger glover,334445,10874679,0.99,1,66,
A Twist In The Tail,66,1,1,roger glover,257462,8413103,0.99,1,66,
Nasty Piece Of Work,66,1,1,jon lord/roger glover,276662,9076997,0.99,0,66,
Solitaire,66,1,1,roger glover,282226,9157021,0.99,0,66,
One Man's Meat,66,1,1,roger glover,278804,9068960,0.99,1,66,
Pour Some Sugar On Me,67,1,1,,292519,9518842,0.99,1,67,
Photograph,67,1,1,,248633,8108507,0.99,0,67,
Love Bites,67,1,1,,346853,11305791,0.99,0,67,
Let's Get Rocked,67,1,1,,296019,9724150,0.99,0,67,
Two Steps Behind [Acoustic Version],67,1,1,,259787,8523388,0.99,1,67,
Animal,67,1,1,,244741,7985133,0.99,1,67,
Heaven Is,67,1,1,,214021,6988128,0.99,0,67,
Rocket,67,1,1,,247248,8092463,0.99,0,67,
When Love & Hate Collide,67,1,1,,257280,8364633,0.99,1,67,
Action,67,1,1,,220604,7130830,0.99,1,67,
Make Love Like A Man,67,1,1,,255660,8309725,0.99,0,67,
Armageddon It,67,1,1,,322455,10522352,0.99,0,67,
Have You Ever Needed Someone So Bad,67,1,1,,319320,10400020,0.99,0,67,
Rock Of Ages,67,1,1,,248424,8150318,0.99,1,67,
Hysteria,67,1,1,,355056,11622738,0.99,1,67,
Bringin' On The Heartbreak,67,1,1,,272457,8853324,0.99,0,67,
Roll Call,68,1,2,Jim Beard,321358,10653494,0.99,0,68,
Otay,68,1,2,"John Scofield, Robert Aries, Milton Chambers and Gary Grainger",423653,14176083,0.99,1,68,
Groovus Interruptus,68,1,2,Jim Beard,319373,10602166,0.99,1,68,
Paris On Mine,68,1,2,Jon Herington,368875,12059507,0.99,0,68,
In Time,68,1,2,Sylvester Stewart,368953,12287103,0.99,0,68,
Plan B,68,1,2,"Dean Brown, Dennis Chambers & Jim Beard",272039,9032315,0.99,0,68,
Outbreak,68,1,2,Jim Beard & Jon Herington,659226,21685807,0.99,1,68,
"Baltimore, DC",68,1,2,John Scofield,346932,11394473,0.99,1,68,
Talkin Loud and Saying Nothin,68,1,2,James Brown & Bobby Byrd,360411,11994859,0.99,0,68,
Pétala,69,1,7,,270080,8856165,0.99,0,69,
Meu Bem-Querer,69,1,7,,255608,8330047,0.99,0,69,
Cigano,69,1,7,,304692,10037362,0.99,1,69,
Boa Noite,69,1,7,,338755,11283582,0.99,0,69,
Fato Consumado,69,1,7,,211565,7018586,0.99,0,69,
Faltando Um Pedaço,69,1,7,,267728,8788760,0.99,0,69,
Álibi,69,1,7,,213237,6928434,0.99,2,69,
Esquinas,69,1,7,,280999,9096726,0.99,2,69,
Se...,69,1,7,,286432,9413777,0.99,1,69,
Eu Te Devoro,69,1,7,,311614,10312775,0.99,0,69,
Lilás,69,1,7,,274181,9049542,0.99,1,69,
Acelerou,69,1,7,,284081,9396942,0.99,1,69,
Um Amor Puro,69,1,7,,327784,10687311,0.99,1,69,
Samurai,70,1,7,Djavan,330997,10872787,0.99,0,70,
Nem Um Dia,70,1,7,Djavan,337423,11181446,0.99,1,70,
Oceano,70,1,7,Djavan,217338,7026441,0.99,1,70,
Açai,70,1,7,Djavan,270968,8893682,0.99,2,70,
Serrado,70,1,7,Djavan,295314,9842240,0.99,0,70,
Flor De Lis,70,1,7,Djavan,236355,7801108,0.99,1,70,
Amar É Tudo,70,1,7,Djavan,211617,7073899,0.99,0,70,
Azul,70,1,7,Djavan,253962,8381029,0.99,2,70,
Seduzir,70,1,7,Djavan,277524,9163253,0.99,0,70,
A Carta,70,1,7,"Djavan - Gabriel, O Pensador",347297,11493463,0.99,0,70,
Sina,70,1,7,Djavan,268173,8906539,0.99,0,70,
Acelerou,70,1,7,Djavan,284133,9391439,0.99,1,70,
Um Amor Puro,70,1,7,Djavan,327105,10664698,0.99,1,70,
O Bêbado e a Equilibrista,71,1,7,,223059,7306143,0.99,0,71,
O Mestre-Sala dos Mares,71,1,7,,186226,6180414,0.99,0,71,
Atrás da Porta,71,1,7,,166608,5432518,0.99,1,71,
"Dois Pra Lá, Dois Pra Cá",71,1,7,,263026,8684639,0.99,2,71,
Casa no Campo,71,1,7,,170788,5531841,0.99,1,71,
Romaria,71,1,7,,242834,7968525,0.99,1,71,
"Alô, Alô, Marciano",71,1,7,,241397,8137254,0.99,1,71,
Me Deixas Louca,71,1,7,,214831,6888030,0.99,1,71,
Fascinação,71,1,7,,180793,5793959,0.99,1,71,
Saudosa Maloca,71,1,7,,278125,9059416,0.99,1,71,
As Aparências Enganam,71,1,7,,247379,8014346,0.99,1,71,
Madalena,71,1,7,,157387,5243721,0.99,1,71,
Maria Rosa,71,1,7,,232803,7592504,0.99,1,71,
Aprendendo A Jogar,71,1,7,,290664,9391041,0.99,1,71,
Layla,72,1,6,Clapton/Gordon,430733,14115792,0.99,1,72,
Badge,72,1,6,Clapton/Harrison,163552,5322942,0.99,1,72,
I Feel Free,72,1,6,Bruce/Clapton,174576,5725684,0.99,0,72,
Sunshine Of Your Love,72,1,6,Bruce/Clapton,252891,8225889,0.99,2,72,
Crossroads,72,1,6,Clapton/Robert Johnson Arr: Eric Clapton,253335,8273540,0.99,1,72,
Strange Brew,72,1,6,Clapton/Collins/Pappalardi,167810,5489787,0.99,0,72,
White Room,72,1,6,Bruce/Clapton,301583,9872606,0.99,0,72,
Bell Bottom Blues,72,1,6,Clapton,304744,9946681,0.99,1,72,
Cocaine,72,1,6,Cale/Clapton,215928,7138399,0.99,0,72,
I Shot The Sheriff,72,1,6,Marley,263862,8738973,0.99,0,72,
After Midnight,72,1,6,Clapton/J. J. Cale,191320,6460941,0.99,1,72,
Swing Low Sweet Chariot,72,1,6,Clapton/Trad. Arr. Clapton,208143,6896288,0.99,1,72,
Lay Down Sally,72,1,6,Clapton/Levy,231732,7774207,0.99,2,72,
Knockin On Heavens Door,72,1,6,Clapton/Dylan,264411,8758819,0.99,1,72,
Wonderful Tonight,72,1,6,Clapton,221387,7326923,0.99,1,72,
Let It Grow,72,1,6,Clapton,297064,9742568,0.99,1,72,
Promises,72,1,6,Clapton/F.eldman/Linn,180401,6006154,0.99,2,72,
I Can't Stand It,72,1,6,Clapton,249730,8271980,0.99,0,72,
Signe,73,1,6,Eric Clapton,193515,6475042,0.99,1,73,
Before You Accuse Me,73,1,6,Eugene McDaniel,224339,7456807,0.99,1,73,
Hey Hey,73,1,6,Big Bill Broonzy,196466,6543487,0.99,1,73,
Tears In Heaven,73,1,6,"Eric Clapton, Will Jennings",274729,9032835,0.99,1,73,
Lonely Stranger,73,1,6,Eric Clapton,328724,10894406,0.99,2,73,
Nobody Knows You When You're Down & Out,73,1,6,Jimmy Cox,231836,7669922,0.99,1,73,
Layla,73,1,6,"Eric Clapton, Jim Gordon",285387,9490542,0.99,1,73,
Running On Faith,73,1,6,Jerry Lynn Williams,378984,12536275,0.99,0,73,
Walkin' Blues,73,1,6,Robert Johnson,226429,7435192,0.99,1,73,
Alberta,73,1,6,Traditional,222406,7412975,0.99,1,73,
San Francisco Bay Blues,73,1,6,Jesse Fuller,203363,6724021,0.99,1,73,
Malted Milk,73,1,6,Robert Johnson,216528,7096781,0.99,0,73,
Old Love,73,1,6,"Eric Clapton, Robert Cray",472920,15780747,0.99,1,73,
Rollin' And Tumblin',73,1,6,McKinley Morgenfield (Muddy Waters),251768,8407355,0.99,0,73,
Collision,74,1,4,Jon Hudson/Mike Patton,204303,6656596,0.99,0,74,
Stripsearch,74,1,4,Jon Hudson/Mike Bordin/Mike Patton,270106,8861119,0.99,1,74,
Last Cup Of Sorrow,74,1,4,Bill Gould/Mike Patton,251663,8221247,0.99,2,74,
Naked In Front Of The Computer,74,1,4,Mike Patton,128757,4225077,0.99,1,74,
Helpless,74,1,4,Bill Gould/Mike Bordin/Mike Patton,326217,10753135,0.99,1,74,
Mouth To Mouth,74,1,4,Bill Gould/Jon Hudson/Mike Bordin/Mike Patton,228493,7505887,0.99,1,74,
Ashes To Ashes,74,1,4,Bill Gould/Jon Hudson/Mike Bordin/Mike Patton/Roddy Bottum,217391,7093746,0.99,1,74,
She Loves Me Not,74,1,4,Bill Gould/Mike Bordin/Mike Patton,209867,6887544,0.99,2,74,
Got That Feeling,74,1,4,Mike Patton,140852,4643227,0.99,1,74,
Paths Of Glory,74,1,4,Bill Gould/Jon Hudson/Mike Bordin/Mike Patton/Roddy Bottum,257253,8436300,0.99,1,74,
Home Sick Home,74,1,4,Mike Patton,119040,3898976,0.99,1,74,
Pristina,74,1,4,Bill Gould/Mike Patton,232698,7497361,0.99,1,74,
Land Of Sunshine,75,1,4,,223921,7353567,0.99,0,75,
Caffeine,75,1,4,,267937,8747367,0.99,2,75,
Midlife Crisis,75,1,4,,263235,8628841,0.99,2,75,
RV,75,1,4,,223242,7288162,0.99,1,75,
Smaller And Smaller,75,1,4,,310831,10180103,0.99,0,75,
Everything's Ruined,75,1,4,,273658,9010917,0.99,1,75,
Malpractice,75,1,4,,241371,7900683,0.99,1,75,
Kindergarten,75,1,4,,270680,8853647,0.99,1,75,
Be Aggressive,75,1,4,,222432,7298027,0.99,1,75,
A Small Victory,75,1,4,,297168,9733572,0.99,1,75,
Crack Hitler,75,1,4,,279144,9162435,0.99,0,75,
Jizzlobber,75,1,4,,398341,12926140,0.99,0,75,
Midnight Cowboy,75,1,4,,251924,8242626,0.99,1,75,
Easy,75,1,4,,185835,6073008,0.99,2,75,
Get Out,76,1,1,"Mike Bordin, Billy Gould, Mike Patton",137482,4524972,0.99,1,76,
Ricochet,76,1,1,"Mike Bordin, Billy Gould, Mike Patton",269400,8808812,0.99,0,76,
Evidence,76,1,1,"Mike Bordin, Billy Gould, Mike Patton, Trey Spruance",293590,9626136,0.99,0,76,
The Gentle Art Of Making Enemies,76,1,1,"Mike Bordin, Billy Gould, Mike Patton",209319,6908609,0.99,1,76,
Star A.D.,76,1,1,"Mike Bordin, Billy Gould, Mike Patton",203807,6747658,0.99,1,76,
Cuckoo For Caca,76,1,1,"Mike Bordin, Billy Gould, Mike Patton, Trey Spruance",222902,7388369,0.99,1,76,
Caralho Voador,76,1,1,"Mike Bordin, Billy Gould, Mike Patton, Trey Spruance",242102,8029054,0.99,0,76,
Ugly In The Morning,76,1,1,"Mike Bordin, Billy Gould, Mike Patton",186435,6224997,0.99,1,76,
Digging The Grave,76,1,1,"Mike Bordin, Billy Gould, Mike Patton",185129,6109259,0.99,0,76,
Take This Bottle,76,1,1,"Mike Bordin, Billy Gould, Mike Patton, Trey Spruance",298997,9779971,0.99,1,76,
King For A Day,76,1,1,"Mike Bordin, Billy Gould, Mike Patton, Trey Spruance",395859,13163733,0.99,1,76,
What A Day,76,1,1,"Mike Bordin, Billy Gould, Mike Patton",158275,5203430,0.99,2,76,
The Last To Know,76,1,1,"Mike Bordin, Billy Gould, Mike Patton",267833,8736776,0.99,0,76,
Just A Man,76,1,1,"Mike Bordin, Billy Gould, Mike Patton",336666,11031254,0.99,0,76,
Absolute Zero,76,1,1,"Mike Bordin, Billy Gould, Mike Patton",181995,5929427,0.99,0,76,
From Out Of Nowhere,77,1,4,Faith No More,202527,6587802,0.99,1,77,
Epic,77,1,4,Faith No More,294008,9631296,0.99,1,77,
Falling To Pieces,77,1,4,Faith No More,316055,10333123,0.99,1,77,
Surprise! You're Dead!,77,1,4,Faith No More,147226,4823036,0.99,1,77,
Zombie Eaters,77,1,4,Faith No More,360881,11835367,0.99,0,77,
The Real Thing,77,1,4,Faith No More,493635,16233080,0.99,0,77,
Underwater Love,77,1,4,Faith No More,231993,7634387,0.99,1,77,
The Morning After,77,1,4,Faith No More,223764,7355898,0.99,1,77,
Woodpecker From Mars,77,1,4,Faith No More,340532,11174250,0.99,1,77,
War Pigs,77,1,4,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",464770,15267802,0.99,0,77,
Edge Of The World,77,1,4,Faith No More,250357,8235607,0.99,0,77,
Deixa Entrar,78,1,7,,33619,1095012,0.99,0,78,
Falamansa Song,78,1,7,,237165,7921313,0.99,2,78,
Xote Dos Milagres,78,1,7,,269557,8897778,0.99,1,78,
Rindo À Toa,78,1,7,,222066,7365321,0.99,0,78,
Confidência,78,1,7,,222197,7460829,0.99,0,78,
Forró De Tóquio,78,1,7,,169273,5588756,0.99,0,78,
Zeca Violeiro,78,1,7,,143673,4781949,0.99,1,78,
Avisa,78,1,7,,355030,11844320,0.99,1,78,
Principiando/Decolagem,78,1,7,,116767,3923789,0.99,1,78,
Asas,78,1,7,,231915,7711669,0.99,0,78,
Medo De Escuro,78,1,7,,213760,7056323,0.99,1,78,
Oração,78,1,7,,271072,9003882,0.99,0,78,
Minha Gata,78,1,7,,181838,6039502,0.99,0,78,
Desaforo,78,1,7,,174524,5853561,0.99,1,78,
In Your Honor,79,1,1,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",230191,7468463,0.99,1,79,
No Way Back,79,1,1,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",196675,6421400,0.99,1,79,
Best Of You,79,1,1,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",255712,8363467,0.99,0,79,
DOA,79,1,1,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",252186,8232342,0.99,0,79,
Hell,79,1,1,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",117080,3819255,0.99,0,79,
The Last Song,79,1,1,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",199523,6496742,0.99,2,79,
Free Me,79,1,1,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",278700,9109340,0.99,1,79,
Resolve,79,1,1,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",288731,9416186,0.99,0,79,
The Deepest Blues Are Black,79,1,1,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",238419,7735473,0.99,0,79,
End Over End,79,1,1,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",352078,11395296,0.99,0,79,
Still,80,1,1,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",313182,10323157,0.99,1,80,
What If I Do?,80,1,1,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",302994,9929799,0.99,1,80,
Miracle,80,1,1,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",209684,6877994,0.99,0,80,
Another Round,80,1,1,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",265848,8752670,0.99,0,80,
Friend Of A Friend,80,1,1,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",193280,6355088,0.99,1,80,
Over And Out,80,1,1,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",316264,10428382,0.99,1,80,
On The Mend,80,1,1,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",271908,9071997,0.99,0,80,
Virginia Moon,80,1,1,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",229198,7494639,0.99,1,80,
Cold Day In The Sun,80,1,1,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",200724,6596617,0.99,0,80,
Razor,80,1,1,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",293276,9721373,0.99,1,80,
All My Life,81,1,4,Foo Fighters,263653,8665545,0.99,0,81,
Low,81,1,4,Foo Fighters,268120,8847196,0.99,0,81,
Have It All,81,1,4,Foo Fighters,298057,9729292,0.99,0,81,
Times Like These,81,1,4,Foo Fighters,266370,8624691,0.99,2,81,
Disenchanted Lullaby,81,1,4,Foo Fighters,273528,8919111,0.99,1,81,
Tired Of You,81,1,4,Foo Fighters,311353,10094743,0.99,0,81,
Halo,81,1,4,Foo Fighters,306442,10026371,0.99,0,81,
Lonely As You,81,1,4,Foo Fighters,277185,9022628,0.99,0,81,
Overdrive,81,1,4,Foo Fighters,270550,8793187,0.99,1,81,
Burn Away,81,1,4,Foo Fighters,298396,9678073,0.99,1,81,
Come Back,81,1,4,Foo Fighters,469968,15371980,0.99,0,81,
Doll,82,1,1,"Dave, Taylor, Nate, Chris",83487,2702572,0.99,0,82,
Monkey Wrench,82,1,1,"Dave, Taylor, Nate, Chris",231523,7527531,0.99,1,82,
"Hey, Johnny Park!",82,1,1,"Dave, Taylor, Nate, Chris",248528,8079480,0.99,1,82,
My Poor Brain,82,1,1,"Dave, Taylor, Nate, Chris",213446,6973746,0.99,0,82,
Wind Up,82,1,1,"Dave, Taylor, Nate, Chris",152163,4950667,0.99,0,82,
Up In Arms,82,1,1,"Dave, Taylor, Nate, Chris",135732,4406227,0.99,0,82,
My Hero,82,1,1,"Dave, Taylor, Nate, Chris",260101,8472365,0.99,1,82,
See You,82,1,1,"Dave, Taylor, Nate, Chris",146782,4888173,0.99,1,82,
Enough Space,82,1,1,Dave Grohl,157387,5169280,0.99,0,82,
February Stars,82,1,1,"Dave, Taylor, Nate, Chris",289306,9344875,0.99,0,82,
Everlong,82,1,1,Dave Grohl,250749,8270816,0.99,1,82,
Walking After You,82,1,1,Dave Grohl,303856,9898992,0.99,1,82,
New Way Home,82,1,1,"Dave, Taylor, Nate, Chris",342230,11205664,0.99,0,82,
My Way,83,1,12,claude françois/gilles thibault/jacques revaux/paul anka,275879,8928684,0.99,0,83,
Strangers In The Night,83,1,12,berthold kaempfert/charles singleton/eddie snyder,155794,5055295,0.99,0,83,
"New York, New York",83,1,12,fred ebb/john kander,206001,6707993,0.99,1,83,
I Get A Kick Out Of You,83,1,12,cole porter,194429,6332441,0.99,1,83,
Something Stupid,83,1,12,carson c. parks,158615,5210643,0.99,0,83,
Moon River,83,1,12,henry mancini/johnny mercer,198922,6395808,0.99,0,83,
What Now My Love,83,1,12,carl sigman/gilbert becaud/pierre leroyer,149995,4913383,0.99,1,83,
Summer Love,83,1,12,hans bradtke/heinz meier/johnny mercer,174994,5693242,0.99,1,83,
For Once In My Life,83,1,12,orlando murden/ronald miller,171154,5557537,0.99,0,83,
Love And Marriage,83,1,12,jimmy van heusen/sammy cahn,89730,2930596,0.99,0,83,
They Can't Take That Away From Me,83,1,12,george gershwin/ira gershwin,161227,5240043,0.99,0,83,
My Kind Of Town,83,1,12,jimmy van heusen/sammy cahn,188499,6119915,0.99,1,83,
Fly Me To The Moon,83,1,12,bart howard,149263,4856954,0.99,1,83,
I've Got You Under My Skin,83,1,12,cole porter,210808,6883787,0.99,0,83,
The Best Is Yet To Come,83,1,12,carolyn leigh/cy coleman,173583,5633730,0.99,0,83,
It Was A Very Good Year,83,1,12,ervin drake,266605,8554066,0.99,1,83,
Come Fly With Me,83,1,12,jimmy van heusen/sammy cahn,190458,6231029,0.99,1,83,
That's Life,83,1,12,dean kay thompson/kelly gordon,187010,6095727,0.99,0,83,
The Girl From Ipanema,83,1,12,antonio carlos jobim/norman gimbel/vinicius de moraes,193750,6410674,0.99,0,83,
The Lady Is A Tramp,83,1,12,lorenz hart/richard rodgers,184111,5987372,0.99,0,83,
"Bad, Bad Leroy Brown",83,1,12,jim croce,169900,5548581,0.99,1,83,
Mack The Knife,83,1,12,bert brecht/kurt weill/marc blitzstein,292075,9541052,0.99,1,83,
Loves Been Good To Me,83,1,12,rod mckuen,203964,6645365,0.99,0,83,
L.A. Is My Lady,83,1,12,alan bergman/marilyn bergman/peggy lipton jones/quincy jones,193175,6378511,0.99,0,83,
Entrando Na Sua (Intro),84,1,7,,179252,5840027,0.99,1,84,
Nervosa,84,1,7,,229537,7680421,0.99,1,84,
Funk De Bamba (Com Fernanda Abreu),84,1,7,,237191,7866165,0.99,0,84,
Call Me At Cleo´s,84,1,7,,236617,7920510,0.99,0,84,
Olhos Coloridos (Com Sandra De Sá),84,1,7,,321332,10567404,0.99,0,84,
Zambação,84,1,7,,301113,10030604,0.99,1,84,
Funk Hum,84,1,7,,244453,8084475,0.99,1,84,
Forty Days (Com DJ Hum),84,1,7,,221727,7347172,0.99,0,84,
Balada Da Paula,84,1,7,Emerson Villani,322821,10603717,0.99,0,84,
Dujji,84,1,7,,324597,10833935,0.99,1,84,
Meu Guarda-Chuva,84,1,7,,248528,8216625,0.99,1,84,
Motéis,84,1,7,,213498,7041077,0.99,0,84,
Whistle Stop,84,1,7,,526132,17533664,0.99,0,84,
16 Toneladas,84,1,7,,191634,6390885,0.99,0,84,
Divirta-Se (Saindo Da Sua),84,1,7,,74919,2439206,0.99,1,84,
Forty Days Instrumental,84,1,7,,292493,9584317,0.99,1,84,
Óia Eu Aqui De Novo,85,1,10,,219454,7469735,0.99,0,85,
Baião Da Penha,85,1,10,,247928,8393047,0.99,0,85,
Esperando Na Janela,85,1,10,Manuca/Raimundinho DoAcordion/Targino Godim,261041,8660617,0.99,1,85,
Juazeiro,85,1,10,Humberto Teixeira/Luiz Gonzaga,222275,7349779,0.99,1,85,
Último Pau-De-Arara,85,1,10,Corumbá/José Gumarães/Venancio,200437,6638563,0.99,0,85,
Asa Branca,85,1,10,Humberto Teixeira/Luiz Gonzaga,217051,7387183,0.99,0,85,
Qui Nem Jiló,85,1,10,Humberto Teixeira/Luiz Gonzaga,204695,6937472,0.99,0,85,
Assum Preto,85,1,10,Humberto Teixeira/Luiz Gonzaga,199653,6625000,0.99,1,85,
Pau-De-Arara,85,1,10,"Guio De Morais E Seus ""Parentes""/Luiz Gonzaga",191660,6340649,0.99,1,85,
A Volta Da Asa Branca,85,1,10,Luiz Gonzaga/Zé Dantas,271020,9098093,0.99,0,85,
O Amor Daqui De Casa,85,1,10,Gilberto Gil,148636,4888292,0.99,0,85,
As Pegadas Do Amor,85,1,10,Gilberto Gil,209136,6899062,0.99,0,85,
Lamento Sertanejo,85,1,10,Dominguinhos/Gilberto Gil,260963,8518290,0.99,1,85,
Casinha Feliz,85,1,10,Gilberto Gil,32287,1039615,0.99,0,85,
Introdução (Live),86,1,7,,154096,5227579,0.99,0,86,
